EXO 1:1	Iată numele fiilor lui Israel care au venit în Egipt cu Iacov, fiecare cu familia lui:
EXO 22:24	and my wrath will grow hot, and I will kill you with the sword; and your wives shall be widows, and your children fatherless. (text revizuit în limba română cu diacritice)
EXO 22:25	If you lend money to any of poporul Meu with you who is poor, you shall not be to him as a creditor. You shall not charge him interest. (text revizuit în limba română cu diacritice)
EXO 22:26	If you take your neighbor’s garment as collateral, you shall restore it to him before the sun să plecees down,
EXO 22:27	for that is his only covering, it is his garment for his skin. What would he sleep in? It will happen, when he cries to me, that I will hear, for Eu sunt gracious. (text revizuit în limba română cu diacritice)
EXO 22:28	You shall not blaspheme Dumnezeu, nor curse a ruler of your people. (text revizuit în limba română cu diacritice)
EXO 22:29	You shall not delay to offer from your harvest and from the outflow of your presses. You shall give the firstborn of your sons to me. (text revizuit în limba română cu diacritice)
EXO 22:30	You shall do likewise with your cattle and with your sheep. It shall be with its mother seven days, then on the eighth day you shall give it to me. (text revizuit în limba română cu diacritice)
EXO 22:31	You shall be holy men to me, therefore you shall not eat any meat that is torn by animals in the field. You shall cast it to the dogs. (text revizuit în limba română cu diacritice)
EXO 23:1	You shall not spread a false report. Don’t join your mână with the wicked to be a malicious witness.
EXO 23:2	You shall not follow a crowd to do evil. You shall not testify in court to side with a multitude to pervert justice. (text revizuit în limba română cu diacritice)
EXO 23:3	You shall not favor a poor man in his cause. (text revizuit în limba română cu diacritice)
EXO 23:4	If you meet your enemy’s ox or his donkey să pleceing astray, you shall surely bring it back to him again.
EXO 23:5	If you see the donkey of him who hates you fallen down under his burden, don’t leave him. You shall surely help him with it. (text revizuit în limba română cu diacritice)
EXO 23:6	You shall not deny justice to your poor people in their lawsuits. (text revizuit în limba română cu diacritice)
EXO 23:7	Keep far from a false charge, and don’t kill the innocent and righteous; for I will not justify the wicked. (text revizuit în limba română cu diacritice)
EXO 23:8	You shall take no bribe, for a bribe blinds those who have sight and perverts the words of the righteous. (text revizuit în limba română cu diacritice)
EXO 23:9	You shall not oppress an alien, for you know the heart of an alien, since you were aliens in the țară of Egipt.
EXO 23:10	For six years you shall sow your țară, and shall gather in its increase,
EXO 23:11	but the seventh year you shall let it rest and lie fallow, that the poor of your people may eat; and what they leave the animal of the field shall eat. In the same way, you shall deal with your vineyard and with your olive grove. (text revizuit în limba română cu diacritice)
EXO 23:12	Six days you shall do your work, and on the seventh day you shall rest, that your ox and your donkey may have rest, and the son of your servant, and the alien may be refreshed. (text revizuit în limba română cu diacritice)
EXO 23:13	Be careful to do all things that I have i-a zis lui you; and don’t invoke the name of other să pleceds or even let them be heard out of your mouth.
EXO 23:14	You shall observe a feast to me three times a year. (text revizuit în limba română cu diacritice)
EXO 23:15	You shall observe the feast of unleavened bread. Seven days you shall eat unleavened bread, as I commanded you, at the time appointed in the month Abib (for in it you came out of Egipt), and no one shall appear before me empty. (text revizuit în limba română cu diacritice)
EXO 23:16	And the feast of harvest, the first fruits of your labors, which you sow in the field; and the feast of ingathering, at the end of the year, when you gather in your labors out of the field. (text revizuit în limba română cu diacritice)
EXO 23:17	Three times in the year all your males shall appear before the Lord GOD. (text revizuit în limba română cu diacritice)
EXO 23:18	You shall not offer the blood of my sacrifice with leavened bread. The fat of my feast shall not remain all night until the morning. (text revizuit în limba română cu diacritice)
EXO 23:19	You shall bring the first of the first fruits of your ground into the house of the DOMNUL your Dumnezeu. You shall not boil a young să pleceat in its mother’s milk.
EXO 23:20	Behold, I send an angel before you, to keep you by the way, and to bring you into the place which I have prepared. (text revizuit în limba română cu diacritice)
EXO 23:21	Pay attention to him, and listen to his voice. Don’t provoke him, for he will not pardon your disobedience, for my name is in him. (text revizuit în limba română cu diacritice)
EXO 23:22	But if you indeed listen to his voice, and do all that I speak, then I will be an enemy to your enemies, and an adversary to your adversaries. (text revizuit în limba română cu diacritice)
EXO 23:23	For my angel shall să plece before you, and bring you in to the Amorite, the Hittite, the Perizzite, the Canaanite, the Hivite, and the Jebusite; and I will cut them off.
EXO 23:24	You shall not bow down to their să pleceds, nor serve them, nor follow their practices, but you shall utterly overthrow them and demolish their pillars.
EXO 23:25	You shall serve the DOMNUL your Dumnezeu, and he will bless your bread and your water, and I will take sickness away from among you. (text revizuit în limba română cu diacritice)
EXO 23:26	No one will miscarry or be barren in your țară. I will fulfill the number of your days.
EXO 23:27	I will send my terror before you, and will confuse all the people to whom you come, and I will make all your enemies turn their backs to you. (text revizuit în limba română cu diacritice)
EXO 23:28	I will send the hornet before you, which will drive out the Hivite, the Canaanite, and the Hittite, from before you. (text revizuit în limba română cu diacritice)
EXO 23:29	I will not drive them out from before you in one year, lest the țară become desolate, and the animals of the field multiply against you.
EXO 23:30	Little by little I will drive them out from before you, until you have increased and inherit the țară.
EXO 23:31	I will set your border from the Red Sea even to the sea of the Philistines, and from the wilderness to the River; for I will deliver the inhabitants of the țară into your mână, and you shall drive them out before you.
EXO 23:32	You shall make no covenant with them, nor with their să pleceds.
EXO 23:33	They shall not dwell in your țară, lest they make you sin against me, for if you serve their să pleceds, it will surely be a snare to you.
EXO 24:1	He i-a zis lui Moise, Come up to the DOMNUL, you, and Aaron, Nadab, and Abihu, and seventy of the elders of Israel; and worship from a distance. (text revizuit în limba română cu diacritice)
EXO 24:2	Moise alone shall come near to the DOMNUL, but they shall not come near. The people shall not să plece up with him.
EXO 24:3	Moise came and told the people all the DOMNUL’s words, and all the ordinances; and all the people answered with one voice, and a zis, All the words which the DOMNUL has spoken will we do. (text revizuit în limba română cu diacritice)
EXO 24:4	Moise wrote all the DOMNUL’s words, then rose up early in the morning and built an altar at the base of the mountain, with twelve pillars for the twelve tribes of Israel. (text revizuit în limba română cu diacritice)
EXO 24:5	He sent young men of the children of Israel, who offered burnt offerings and sacrificed peace offerings of cattle to the DOMNUL. (text revizuit în limba română cu diacritice)
EXO 24:6	Moise took half of the blood and put it in basins, and half of the blood he sprinkled on the altar. (text revizuit în limba română cu diacritice)
EXO 24:7	He took the book of the covenant and read it in the hearing of the people, and they a zis, We will do all that the DOMNUL has a zis, and be obedient. (text revizuit în limba română cu diacritice)
EXO 24:8	Moise took the blood, and sprinkled it on the people, and a zis, Look, this is the blood of the covenant, which the DOMNUL has made with you concerning all these words. (text revizuit în limba română cu diacritice)
EXO 24:9	Then Moise, Aaron, Nadab, Abihu, and seventy of the elders of Israel went up. (text revizuit în limba română cu diacritice)
EXO 24:10	They saw the Dumnezeu of Israel. Under his feet was like a paved work of sapphire stone, like the skies for clearness. (text revizuit în limba română cu diacritice)
EXO 24:11	He didn’t lay his mână on the nobles of the children of Israel. They saw Dumnezeu, and ate and drank.
EXO 24:12	The DOMNUL i-a zis lui Moise, Come up to me on the mountain, and stay here, and I will give you the stone tablets with the law and the commands that I have written, that you may teach them. (text revizuit în limba română cu diacritice)
EXO 24:13	Moise rose up with Joshua, his servant, and Moise went up onto Dumnezeu’s Mountain. (text revizuit în limba română cu diacritice)
EXO 24:14	He i-a zis lui the elders, Wait here for us, until we come again to you. Behold, Aaron and Hur are with you. Whoever is involved in a dispute can să plece to them.
EXO 24:15	Moise went up on the mountain, and the cloud covered the mountain. (text revizuit în limba română cu diacritice)
EXO 24:16	The DOMNUL’s glory settled on Mount Sinai, and the cloud covered it six days. The seventh day he called to Moise out of the middle of the cloud. (text revizuit în limba română cu diacritice)
EXO 24:17	The appearance of the DOMNUL’s glory was like devouring fire on the top of the mountain in the eyes of the children of Israel. (text revizuit în limba română cu diacritice)
EXO 24:18	Moise entered into the middle of the cloud, and went up on the mountain; and Moise was on the mountain forty days and forty nights. (text revizuit în limba română cu diacritice)
EXO 25:1	The DOMNUL a vorbit lui Moise, saying, (text revizuit în limba română cu diacritice)
EXO 25:2	Speak to the children of Israel, that they take an offering for me. From everyone whose heart makes him willing you shall take my offering. (text revizuit în limba română cu diacritice)
EXO 25:3	This is the offering which you shall take from them: să pleceld, silver, bronze,
EXO 25:4	blue, purple, scarlet, fine linen, să pleceats’ hair,
EXO 25:5	rams’ skins dyed red, sea cow hides, acacia wood, (text revizuit în limba română cu diacritice)
EXO 25:6	oil for the light, spices for the anointing oil and for the sweet incense, (text revizuit în limba română cu diacritice)
EXO 25:7	onyx stones, and stones to be set for the ephod and for the breastplate. (text revizuit în limba română cu diacritice)
EXO 25:8	Let them make me a sanctuary, that I may dwell among them. (text revizuit în limba română cu diacritice)
EXO 25:9	According to all that I show you, the pattern of the tabernacle, and the pattern of all of its furniture, even so you shall make it. (text revizuit în limba română cu diacritice)
EXO 25:10	They shall make an ark of acacia wood. Its length shall be two and a half cubits, its width a cubit and a half, and a cubit and a half its height. (text revizuit în limba română cu diacritice)
EXO 25:11	You shall overlay it with pure să pleceld. You shall overlay it inside and outside, and you shall make a să pleceld molding around it.
EXO 25:12	You shall cast four rings of să pleceld for it, and put them in its four feet. Two rings shall be on the one side of it, and two rings on the other side of it.
EXO 25:13	You shall make poles of acacia wood, and overlay them with să pleceld.
EXO 25:14	You shall put the poles into the rings on the sides of the ark to carry the ark. (text revizuit în limba română cu diacritice)
EXO 25:15	The poles shall be in the rings of the ark. They shall not be taken from it. (text revizuit în limba română cu diacritice)
EXO 25:16	You shall put the covenant which I shall give you into the ark. (text revizuit în limba română cu diacritice)
EXO 25:17	You shall make a mercy seat of pure să pleceld. Two and a half cubits shall be its length, and a cubit and a half its width.
EXO 25:18	You shall make two cherubim of hammered să pleceld. You shall make them at the two ends of the mercy seat.
EXO 25:19	Make one cherub at the one end, and one cherub at the other end. You shall make the cherubim on its two ends of one piece with the mercy seat. (text revizuit în limba română cu diacritice)
EXO 25:20	The cherubim shall spread out their wings upward, covering the mercy seat with their wings, with their faces toward one another. The faces of the cherubim shall be toward the mercy seat. (text revizuit în limba română cu diacritice)
EXO 25:21	You shall put the mercy seat on top of the ark, and in the ark you shall put the covenant that I will give you. (text revizuit în limba română cu diacritice)
EXO 25:22	There I will meet with you, and I will tell you from above the mercy seat, from between the two cherubim which are on the ark of the covenant, all that I command you for the children of Israel. (text revizuit în limba română cu diacritice)
EXO 25:23	You shall make a table of acacia wood. Its length shall be two cubits, and its width a cubit, and its height one and a half cubits. (text revizuit în limba română cu diacritice)
EXO 25:24	You shall overlay it with pure să pleceld, and make a să pleceld molding around it.
EXO 25:25	You shall make a rim of a mână width around it. You shall make a să plecelden molding on its rim around it.
EXO 25:26	You shall make four rings of să pleceld for it, and put the rings in the four corners that are on its four feet.
EXO 25:27	The rings shall be close to the rim, for places for the poles to carry the table. (text revizuit în limba română cu diacritice)
EXO 25:28	You shall make the poles of acacia wood, and overlay them with să pleceld, that the table may be carried with them.
EXO 25:29	You shall make its dishes, its spoons, its ladles, and its bowls with which to pour out offerings. You shall make them of pure să pleceld.
EXO 25:30	You shall set bread of the presence on the table before me always. (text revizuit în limba română cu diacritice)
EXO 25:31	You shall make a lamp stand of pure să pleceld. The lamp stand shall be made of hammered work. Its base, its shaft, its cups, its buds, and its flowers shall be of one piece with it.
EXO 25:32	There shall be six branches să pleceing out of its sides: three branches of the lamp stand out of its one side, and three branches of the lamp stand out of its other side;
EXO 25:33	three cups made like almond blossoms in one branch, a bud and a flower; and three cups made like almond blossoms in the other branch, a bud and a flower, so for the six branches să pleceing out of the lamp stand;
EXO 25:34	and in the lamp stand four cups made like almond blossoms, its buds and its flowers; (text revizuit în limba română cu diacritice)
EXO 25:35	and a bud under two branches of one piece with it, and a bud under two branches of one piece with it, and a bud under two branches of one piece with it, for the six branches să pleceing out of the lamp stand.
EXO 25:36	Their buds and their branches shall be of one piece with it, all of it one beaten work of pure să pleceld.
EXO 25:37	You shall make its lamps seven, and they shall light its lamps to give light to the space in front of it. (text revizuit în limba română cu diacritice)
EXO 25:38	Its snuffers and its snuff dishes shall be of pure să pleceld.
EXO 25:39	It shall be made of a talent of pure să pleceld, with all these accessories.
EXO 25:40	See that you make them after their pattern, which has been shown to you on the mountain. (text revizuit în limba română cu diacritice)
EXO 26:1	Moreover you shall make the tabernacle with ten curtains of fine twined linen, and blue, and purple, and scarlet, with cherubim. You shall make them with the work of a skillful workman. (text revizuit în limba română cu diacritice)
EXO 26:2	The length of each curtain shall be twenty-eight cubits, and the width of each curtain four cubits: all the curtains shall have one measure. (text revizuit în limba română cu diacritice)
EXO 26:3	Five curtains shall be coupled together to one another, and the other five curtains shall be coupled to one another. (text revizuit în limba română cu diacritice)
EXO 26:4	You shall make loops of blue on the edge of the one curtain from the edge in the coupling, and you shall do likewise on the edge of the curtain that is outermost in the second coupling. (text revizuit în limba română cu diacritice)
EXO 26:5	You shall make fifty loops in the one curtain, and you shall make fifty loops in the edge of the curtain that is in the second coupling. The loops shall be opposite one another. (text revizuit în limba română cu diacritice)
EXO 26:6	You shall make fifty clasps of să pleceld, and couple the curtains to one another with the clasps. The tabernacle shall be a unit.
EXO 26:7	You shall make curtains of să pleceats’ hair for a covering over the tabernacle. You shall make eleven curtains.
EXO 26:8	The length of each curtain shall be thirty cubits, and the width of each curtain four cubits: the eleven curtains shall have one measure. (text revizuit în limba română cu diacritice)
EXO 26:9	You shall couple five curtains by themselves, and six curtains by themselves, and shall double over the sixth curtain in the forefront of the tent. (text revizuit în limba română cu diacritice)
EXO 26:10	You shall make fifty loops on the edge of the one curtain that is outermost in the coupling, and fifty loops on the edge of the curtain which is outermost in the second coupling. (text revizuit în limba română cu diacritice)
EXO 26:11	You shall make fifty clasps of bronze, and put the clasps into the loops, and couple the tent together, that it may be one. (text revizuit în limba română cu diacritice)
EXO 26:12	The overhanging part that remains of the curtains of the tent—the half curtain that remains—shall hang over the back of the tabernacle. (text revizuit în limba română cu diacritice)
EXO 26:13	The cubit on the one side and the cubit on the other side, of that which remains in the length of the curtains of the tent, shall hang over the sides of the tabernacle on this side and on that side, to cover it. (text revizuit în limba română cu diacritice)
EXO 26:14	You shall make a covering for the tent of rams’ skins dyed red, and a covering of sea cow hides above. (text revizuit în limba română cu diacritice)
EXO 26:15	You shall make the boards for the tabernacle of acacia wood, standing upright. (text revizuit în limba română cu diacritice)
EXO 26:16	Ten cubits shall be the length of a board, and one and a half cubits the width of each board. (text revizuit în limba română cu diacritice)
EXO 26:17	There shall be two tenons in each board, joined to one another: thus you shall make for all the boards of the tabernacle. (text revizuit în limba română cu diacritice)
EXO 26:18	You shall make twenty boards for the tabernacle, for the south side southward. (text revizuit în limba română cu diacritice)
EXO 26:19	You shall make forty sockets of silver under the twenty boards; two sockets under one board for its two tenons, and two sockets under another board for its two tenons. (text revizuit în limba română cu diacritice)
EXO 26:20	For the second side of the tabernacle, on the north side, twenty boards, (text revizuit în limba română cu diacritice)
EXO 26:21	and their forty sockets of silver; two sockets under one board, and two sockets under another board. (text revizuit în limba română cu diacritice)
EXO 26:22	For the far side of the tabernacle westward you shall make six boards. (text revizuit în limba română cu diacritice)
EXO 26:23	You shall make two boards for the corners of the tabernacle in the far side. (text revizuit în limba română cu diacritice)
EXO 26:24	They shall be double beneath, and in the same way they shall be whole to its top to one ring: thus shall it be for them both; they shall be for the two corners. (text revizuit în limba română cu diacritice)
EXO 26:25	There shall be eight boards, and their sockets of silver, sixteen sockets; two sockets under one board, and two sockets under another board. (text revizuit în limba română cu diacritice)
EXO 26:26	You shall make bars of acacia wood: five for the boards of the one side of the tabernacle, (text revizuit în limba română cu diacritice)
EXO 26:27	and five bars for the boards of the other side of the tabernacle, and five bars for the boards of the side of the tabernacle, for the far side westward. (text revizuit în limba română cu diacritice)
EXO 26:28	The middle bar in the middle of the boards shall pass through from end to end. (text revizuit în limba română cu diacritice)
EXO 26:29	You shall overlay the boards with să pleceld, and make their rings of să pleceld for places for the bars. You shall overlay the bars with să pleceld.
EXO 26:30	You shall set up the tabernacle according to the way that it was shown to you on the mountain. (text revizuit în limba română cu diacritice)
EXO 26:31	You shall make a veil of blue, and purple, and scarlet, and fine twined linen, with cherubim. It shall be the work of a skillful workman. (text revizuit în limba română cu diacritice)
EXO 26:32	You shall hang it on four pillars of acacia overlaid with să pleceld; their hooks shall be of să pleceld, on four sockets of silver.
EXO 26:33	You shall hang up the veil under the clasps, and shall bring the ark of the covenant in there within the veil. The veil shall separate the holy place from the most holy for you. (text revizuit în limba română cu diacritice)
EXO 26:34	You shall put the mercy seat on the ark of the covenant in the most holy place. (text revizuit în limba română cu diacritice)
EXO 26:35	You shall set the table outside the veil, and the lamp stand opposite the table on the side of the tabernacle toward the south. You shall put the table on the north side. (text revizuit în limba română cu diacritice)
EXO 26:36	You shall make a screen for the door of the Tent, of blue, and purple, and scarlet, and fine twined linen, the work of the embroiderer. (text revizuit în limba română cu diacritice)
EXO 26:37	You shall make for the screen five pillars of acacia, and overlay them with să pleceld. Their hooks shall be of să pleceld. You shall cast five sockets of bronze for them.
EXO 27:1	You shall make the altar of acacia wood, five cubits long, and five cubits wide. The altar shall be square. Its height shall be three cubits. (text revizuit în limba română cu diacritice)
EXO 27:2	You shall make its horns on its four corners. Its horns shall be of one piece with it. You shall overlay it with bronze. (text revizuit în limba română cu diacritice)
EXO 27:3	You shall make its pots to take away its ashes; and its shovels, its basins, its meat hooks, and its fire pans. You shall make all its vessels of bronze. (text revizuit în limba română cu diacritice)
EXO 27:4	You shall make a grating for it of network of bronze. On the net you shall make four bronze rings in its four corners. (text revizuit în limba română cu diacritice)
EXO 27:5	You shall put it under the ledge around the altar beneath, that the net may reach halfway up the altar. (text revizuit în limba română cu diacritice)
EXO 27:6	You shall make poles for the altar, poles of acacia wood, and overlay them with bronze. (text revizuit în limba română cu diacritice)
EXO 27:7	Its poles shall be put into the rings, and the poles shall be on the two sides of the altar when carrying it. (text revizuit în limba română cu diacritice)
EXO 27:8	You shall make it hollow with planks. They shall make it as it has been shown you on the mountain. (text revizuit în limba română cu diacritice)
EXO 27:9	You shall make the court of the tabernacle: for the south side southward there shall be hangings for the court of fine twined linen one hundred cubits long for one side. (text revizuit în limba română cu diacritice)
EXO 27:10	Its pillars shall be twenty, and their sockets twenty, of bronze. The hooks of the pillars and their fillets shall be of silver. (text revizuit în limba română cu diacritice)
EXO 27:11	Likewise for the length of the north side, there shall be hangings one hundred cubits long, and its pillars twenty, and their sockets twenty, of bronze; the hooks of the pillars, and their fillets, of silver. (text revizuit în limba română cu diacritice)
EXO 27:12	For the width of the court on the west side shall be hangings of fifty cubits; their pillars ten, and their sockets ten. (text revizuit în limba română cu diacritice)
EXO 27:13	The width of the court on the east side eastward shall be fifty cubits. (text revizuit în limba română cu diacritice)
EXO 27:14	The hangings for the one side of the gate shall be fifteen cubits; their pillars three, and their sockets three. (text revizuit în limba română cu diacritice)
EXO 27:15	For the other side shall be hangings of fifteen cubits; their pillars three, and their sockets three. (text revizuit în limba română cu diacritice)
EXO 27:16	For the gate of the court shall be a screen of twenty cubits, of blue, and purple, and scarlet, and fine twined linen, the work of the embroiderer; their pillars four, and their sockets four. (text revizuit în limba română cu diacritice)
EXO 27:17	All the pillars of the court around shall be filleted with silver; their hooks of silver, and their sockets of bronze. (text revizuit în limba română cu diacritice)
EXO 27:18	The length of the court shall be one hundred cubits, and the width fifty throughout, and the height five cubits, of fine twined linen, and their sockets of bronze. (text revizuit în limba română cu diacritice)
EXO 27:19	All the instruments of the tabernacle in all its service, and all its pins, and all the pins of the court, shall be of bronze. (text revizuit în limba română cu diacritice)
EXO 27:20	You shall command the children of Israel, that they bring to you pure olive oil beaten for the light, to cause a lamp to burn continually. (text revizuit în limba română cu diacritice)
EXO 27:21	In the Tent of Meeting, outside the veil which is before the covenant, Aaron and his sons shall keep it in order from evening to morning before the DOMNUL: it shall be a statute forever throughout their generations on the behalf of the children of Israel. (text revizuit în limba română cu diacritice)
EXO 28:1	Bring Aaron your brother, and his sons with him, near to you from among the children of Israel, that he may minister to me in the priest’s office: Aaron, with Nadab, Abihu, Eleazar, and Ithamar, Aaron’s sons. (text revizuit în limba română cu diacritice)
EXO 28:2	You shall make holy garments for Aaron your brother, for glory and for beauty. (text revizuit în limba română cu diacritice)
EXO 28:3	You shall speak to all who are wise-hearted, whom I have filled with the spirit of wisdom, that they make Aaron’s garments to sanctify him, that he may minister to me in the priest’s office. (text revizuit în limba română cu diacritice)
EXO 28:4	These are the garments which they shall make: a breastplate, an ephod, a robe, a fitted tunic, a turban, and a sash. They shall make holy garments for Aaron your brother and his sons, that he may minister to me in the priest’s office. (text revizuit în limba română cu diacritice)
EXO 28:5	They shall use the să pleceld, and the blue, and the purple, and the scarlet, and the fine linen.
EXO 28:6	They shall make the ephod of să pleceld, blue, purple, scarlet, and fine twined linen, the work of the skillful workman.
EXO 28:7	It shall have two shoulder straps joined to the two ends of it, that it may be joined together. (text revizuit în limba română cu diacritice)
EXO 28:8	The skillfully woven band, which is on it, shall be like its work and of the same piece; of să pleceld, blue, purple, scarlet, and fine twined linen.
EXO 28:9	You shall take two onyx stones, and engrave on them the names of the children of Israel. (text revizuit în limba română cu diacritice)
EXO 28:10	Six of their names on the one stone, and the names of the six that remain on the other stone, in the order of their birth. (text revizuit în limba română cu diacritice)
EXO 28:11	With the work of an engraver in stone, like the engravings of a signet, you shall engrave the two stones, according to the names of the children of Israel. You shall make them to be enclosed in settings of să pleceld.
EXO 28:12	You shall put the two stones on the shoulder straps of the ephod, to be stones of memorial for the children of Israel. Aaron shall bear their names before the DOMNUL on his two shoulders for a memorial. (text revizuit în limba română cu diacritice)
EXO 28:13	You shall make settings of să pleceld,
EXO 28:14	and two chains of pure să pleceld; you shall make them like cords of braided work. You shall put the braided chains on the settings.
EXO 28:15	You shall make a breastplate of judgment, the work of the skillful workman; like the work of the ephod you shall make it; of să pleceld, of blue, and purple, and scarlet, and fine twined linen, you shall make it.
EXO 28:16	It shall be square and folded double; a span shall be its length, and a span its width. (text revizuit în limba română cu diacritice)
EXO 28:17	You shall set in it settings of stones, four rows of stones: a row of ruby, topaz, and beryl shall be the first row; (text revizuit în limba română cu diacritice)
EXO 28:18	and the second row a turquoise, a sapphire, and an emerald; (text revizuit în limba română cu diacritice)
EXO 28:19	and the third row a jacinth, an agate, and an amethyst; (text revizuit în limba română cu diacritice)
EXO 28:20	and the fourth row a chrysolite, an onyx, and a jasper. They shall be enclosed in să pleceld in their settings.
EXO 28:21	The stones shall be according to the names of the children of Israel, twelve, according to their names; like the engravings of a signet, everyone according to his name, they shall be for the twelve tribes. (text revizuit în limba română cu diacritice)
EXO 28:22	You shall make on the breastplate chains like cords, of braided work of pure să pleceld.
EXO 28:23	You shall make on the breastplate two rings of să pleceld, and shall put the two rings on the two ends of the breastplate.
EXO 28:24	You shall put the two braided chains of să pleceld in the two rings at the ends of the breastplate.
EXO 28:25	The other two ends of the two braided chains you shall put on the two settings, and put them on the shoulder straps of the ephod in its forepart. (text revizuit în limba română cu diacritice)
EXO 28:26	You shall make two rings of să pleceld, and you shall put them on the two ends of the breastplate, on its edge, which is toward the side of the ephod inward.
EXO 28:27	You shall make two rings of să pleceld, and shall put them on the two shoulder straps of the ephod underneath, in its forepart, close by its coupling, above the skillfully woven band of the ephod.
EXO 28:28	They shall bind the breastplate by its rings to the rings of the ephod with a lace of blue, that it may be on the skillfully woven band of the ephod, and that the breastplate may not swing out from the ephod. (text revizuit în limba română cu diacritice)
EXO 28:29	Aaron shall bear the names of the children of Israel in the breastplate of judgment on his heart, when he să plecees in to the holy place, for a memorial before the DOMNUL continually.
EXO 28:30	You shall put in the breastplate of judgment the Urim and the Thummim; and they shall be on Aaron’s heart, when he să plecees in before the DOMNUL. Aaron shall bear the judgment of the children of Israel on his heart before the DOMNUL continually.
EXO 28:31	You shall make the robe of the ephod all of blue. (text revizuit în limba română cu diacritice)
EXO 28:32	It shall have a hole for the head in the middle of it. It shall have a binding of woven work around its hole, as it were the hole of a coat of mail, that it not be torn. (text revizuit în limba română cu diacritice)
EXO 28:33	On its hem you shall make pomegranates of blue, and of purple, and of scarlet, all around its hem; with bells of să pleceld between and around them:
EXO 28:34	a să plecelden bell and a pomegranate, a să plecelden bell and a pomegranate, around the hem of the robe.
EXO 28:35	It shall be on Aaron to minister: and its sound shall be heard when he să plecees in to the holy place before the DOMNUL, and when he comes out, that he not die.
EXO 28:36	You shall make a plate of pure să pleceld, and engrave on it, like the engravings of a signet, ‘HOLY TO THE DOMNUL.’
EXO 28:37	You shall put it on a lace of blue, and it shall be on the sash. It shall be on the front of the sash. (text revizuit în limba română cu diacritice)
EXO 28:38	It shall be on Aaron’s forehead, and Aaron shall bear the iniquity of the holy things, which the children of Israel shall make holy in all their holy gifts; and it shall be always on his forehead, that they may be accepted before the DOMNUL. (text revizuit în limba română cu diacritice)
EXO 28:39	You shall weave the tunic with fine linen. You shall make a turban of fine linen. You shall make a sash, the work of the embroiderer. (text revizuit în limba română cu diacritice)
EXO 28:40	You shall make tunics for Aaron’s sons. You shall make sashes for them. You shall make headbands for them, for glory and for beauty. (text revizuit în limba română cu diacritice)
EXO 28:41	You shall put them on Aaron your brother, and on his sons with him, and shall anoint them, and consecrate them, and sanctify them, that they may minister to me in the priest’s office. (text revizuit în limba română cu diacritice)
EXO 28:42	You shall make them linen pants to cover their naked flesh. They shall reach from the waist even to the thighs. (text revizuit în limba română cu diacritice)
EXO 28:43	They shall be on Aaron and on his sons, when they să plece in to the Tent of Meeting, or when they come near to the altar to minister in the holy place, that they don’t bear iniquity, and die. This shall be a statute forever to him and to his offspring after him.
EXO 29:1	This is the thing that you shall do to them to make them holy, to minister to me in the priest’s office: take one young bull and two rams without defect, (text revizuit în limba română cu diacritice)
EXO 29:2	unleavened bread, unleavened cakes mixed with oil, and unleavened wafers anointed with oil. You shall make them of fine wheat flour. (text revizuit în limba română cu diacritice)
EXO 29:3	You shall put them into one basket, and bring them in the basket, with the bull and the two rams. (text revizuit în limba română cu diacritice)
EXO 29:4	You shall bring Aaron and his sons to the door of the Tent of Meeting, and shall wash them with water. (text revizuit în limba română cu diacritice)
EXO 29:5	You shall take the garments, and put on Aaron the tunic, the robe of the ephod, the ephod, and the breastplate, and clothe him with the skillfully woven band of the ephod. (text revizuit în limba română cu diacritice)
EXO 29:6	You shall set the turban on his head, and put the holy crown on the turban. (text revizuit în limba română cu diacritice)
EXO 29:7	Then you shall take the anointing oil, and pour it on his head, and anoint him. (text revizuit în limba română cu diacritice)
EXO 29:8	You shall bring his sons, and put tunics on them. (text revizuit în limba română cu diacritice)
EXO 29:9	You shall clothe them with belts, Aaron and his sons, and bind headbands on them. They shall have the priesthood by a perpetual statute. You shall consecrate Aaron and his sons. (text revizuit în limba română cu diacritice)
EXO 29:10	You shall bring the bull before the Tent of Meeting; and Aaron and his sons shall lay their mânăs on the head of the bull.
EXO 29:11	You shall kill the bull before the DOMNUL at the door of the Tent of Meeting. (text revizuit în limba română cu diacritice)
EXO 29:12	You shall take of the blood of the bull, and put it on the horns of the altar with your finger; and you shall pour out all the blood at the base of the altar. (text revizuit în limba română cu diacritice)
EXO 29:13	You shall take all the fat that covers the innards, the cover of the liver, the two kidneys, and the fat that is on them, and burn them on the altar. (text revizuit în limba română cu diacritice)
EXO 29:14	But the meat of the bull, and its skin, and its dung, you shall burn with fire outside of the camp. It is a sin offering. (text revizuit în limba română cu diacritice)
EXO 29:15	You shall also take the one ram, and Aaron and his sons shall lay their mânăs on the head of the ram.
EXO 29:16	You shall kill the ram, and you shall take its blood, and sprinkle it around on the altar. (text revizuit în limba română cu diacritice)
EXO 29:17	You shall cut the ram into its pieces, and wash its innards, and its legs, and put them with its pieces, and with its head. (text revizuit în limba română cu diacritice)
EXO 29:18	You shall burn the whole ram on the altar: it is a burnt offering to the DOMNUL; it is a pleasant aroma, an offering made by fire to the DOMNUL. (text revizuit în limba română cu diacritice)
EXO 29:19	You shall take the other ram, and Aaron and his sons shall lay their mânăs on the head of the ram.
