n	reviewId	meaningSha256	ref	original	meaning	evidence	strongLemma	glossLocator
150	c3d45286642b4d704f82cd978e3695c2233bbac6eb8a1adc4044f7fecfeef613	sha256:2354dc1e3c357af65f3b180d6578920ebdc1d86febbdc348692c36b239adf62d	Ioan 12:1-19	ὡσαννά	Osana. Strigare de rugăminte și lauda pentru mântuire.	unique	G5614 ὡσαννά	Hosanna @ TBESG line 5789
151	806a15a59c4a395026fdd9fd3654ee4bc9e82fb2bd4d8d6731bfe39765aa0fe2	sha256:af6e52cc4652fa39ba6073d24478d2ae7f489012de7a9f5b3c6cabc55c446453	Ioan 12:1-19	δόξα	slava. În Ioan, slava Fiului merge spre cruce și apoi spre proslăvire.	unique	G1391 δόξα	glory @ TBESG line 1523
152	9649ab5342b009c1ae3dff3da47bc959c4a26e22cef7cedae7d470d56a52729f	sha256:f2057fa81371d4e4473f53a476b1c3a24be1547c89a01065975b56466d772017	Ioan 12:20-36	ὑψωθῶ	voi fi înălțat. La Ioan, arată spre cruce și spre slava ei.	unique	G5312 ὑψόω	to lift up @ TBESG line 5468
153	bea68df74e890473cd0e9554843e0e0eca1d61384f9a3d87cc74a4efbc10220c	sha256:5838189b68f6abf87e41c4cf5abe0e7cfe22c1791547d92907e40fe12a60ae95	Ioan 12:20-36	κρίσις	judecata. Punerea lumii și a stăpânitorului ei sub sentinta lui Dumnezeu.	unique	G2920 κρίσις	judgment @ TBESG line 3115
154	a9fb58310d107903430bb82096ff147e7c347d004b55f8038b8826a18c6c5f89	sha256:3dd6fda1be046e2ea690cce4e6cc3a68797851bf07e13723aba315ba3047c457	Ioan 12:37-50	τὴν δόξαν τῶν ἀνθρώπων	slava oamenilor; în context, aprobarea omenească iubită mai mult decât cinstea lui Dumnezeu.	unique	G3588 + G1391 + G3588 + G0444 ὁ δόξα ὁ ἄνθρωπος	the/this/who; glory; the/this/who; a human @ TBESG line 3702 + TBESG line 1523 + TBESG line 3702 + TBESG line 551
155	8d034ad349e1cb99b10ad17913fc2b44965be1ce0f4ac84654451e914d4da80d	sha256:ec6f4f4502f0ab043f11b022267eb5173ae57fb0b4a97e555c0fdb299a289cff	Ioan 12:37-50	φῶς	lumina. Hristos ca iesire din întuneric.	unique	G5457 φῶς	light @ TBESG line 5623
156	02796d4c1bb68f481a6a14a9920b427b64ab0fbbd099d2fee6c1c0b8b0ab24ca	sha256:1b0325852929ef39d9ac888c9ee37c899a2daa35c39c4d6a819fa9e764c3404d	Ioan 13:1-17	τέλος	sfârșit, capăt, țintă; în expresia εἰς τέλος poate avea sensul «până la capăt».	unique	G5056 τέλος	goal/tax @ TBESG line 5208
157	db01381a2f1a7bb97248030281b5f3efa9f286999919016647c802361e908833	sha256:1110ecd73eab30bd5dbeb0efcc878a472c4834ef020bf53a4ed7009eca55bd54	Ioan 13:1-17	νίπτω	a spăla. Aici, spalarea picioarelor în semn de curățire și slujire.	unique	G3538 νίπτω	to wash @ TBESG line 3651
158	a048df34bd7e628a9889e6af7600178c1dc978ebc7076f15d7b053fcbd2f0d8a	sha256:98fdb46febc5b6a89a2ec8a67617bb291b178e55736f137314f2c50a24adfc65	Ioan 13:18-30	ἐταράχθη	S-a tulburat. Mișcare adâncă a sufletului în fața răului și a durerii.	unique	G5015 ταράσσω	to trouble @ TBESG line 5167
159	e086609b109f56cffe8123f4ecb20d51bd2c88e2210f505a4e4608e034c27540	sha256:2c26964a1b31f4c505570253cce24dce5fbd5da2b8b085392ad4468946ef2ffb	Ioan 13:18-30	νύξ	noapte. Întuneric real, dar și simbolic în mersul lui Iuda.	unique	G3571 νύξ	night @ TBESG line 3685
160	713031bd2f8c82a32cc4627fe2c145648cce5cbee46ad746daeea69dcd84c67e	sha256:a2f63bae21b3bdec031efd66641c28fcca7d34fe5be3759146465f563452cb7c	Ioan 13:31-38	ἐντολὴν καινὴν	poruncă nouă; ἐντολή = poruncă, καινός = nou.	unique	G1785 + G2537 ἐντολή καινός	commandment; new @ TBESG line 1926 + TBESG line 2720
161	4e9c44326467bca86653107c3787e0065fa3249c03a8261e658113e2499b02d2	sha256:ebaa668fa9c86990ebf3e4e6fd1b1688600ac046a5b3864163933e606ad5ebf8	Ioan 13:31-38	δοξάζω	a proslavi. a arăta slava prin ascultare și jertfa.	unique	G1392 δοξάζω	to glorify @ TBESG line 1524
162	11aa26451d46d1daa51bb3bea3806006b0f132f22cab0fe2071e6b40c05629a0	sha256:dca7d8099de6cf304f0bb7893be8a02d27f88a2f157cc1bc7fc66ef476aaed0f	Ioan 14:1-14	ὁδός	cale. Drumul real și unic spre Tatăl.	unique	G3598 ὁδός	road @ TBESG line 3712
163	2d058a4e250270d621473ff6a578ca4e46f1632ae4acddcc0b6062e7818a91ae	sha256:01af33f71fdf17daca16f98bbf42980a37846e12b91488f03bb56e6bf526ba24	Ioan 14:1-14	ἀλήθεια	adevăr. Adevăr viu și deplin descoperit în Fiul.	unique	G0225 ἀλήθεια	truth @ TBESG line 327
164	c22cb1360ac5af5d32051b2088222a6bc0c7edef2f685bbe5115f8b3d920f1b4	sha256:b5bca37da847a677f6217417aeaac5820e2a24f1328b1329209f904113e8cc09	Ioan 14:1-14	ζωή	viață. Viața deplină, veșnică, aflată în Hristos.	unique	G2222 ζωή	life @ TBESG line 2367
165	7e24a2ddd4e47829db7d4f3b4ff69a78794fd51fc305e0f66a6faac17a69e933	sha256:91c5f45a7af4b247bb3d61c9436d8a87f9596915bae1a0d1195c3f727de22e46	Ioan 14:15-26	παράκλητος	sfătuitor, ajutor, apărător; tradițional, Mângâietor.	unique	G3875 παράκλητος	counsellor @ TBESG line 3993
166	0af48c49a05f2344b0b8b35d2e50bb91e57ed9eceb6e23e057b84a6cd94822de	sha256:90ac69ec3e2d0ba5858f82093009dac00d290c9abb4d139e4e5bc19d48ffff60	Ioan 14:15-26	μένω	a rămâne, a locui. Prezența statornică a Duhului și a lui Hristos.	unique	G3306 μένω	to stay @ TBESG line 3419
167	a1dbeee8b419e4b26bed4b896c217839ab23eadb44a25c970cfe947c1fd434c4	sha256:5c6650b6745d7061a0a205dbeff231417bdb3f1ce5ce7377e0a7a003a6082ba3	Ioan 14:27-31	εἰρήνη	pace. Liniștea adâncă dată de Hristos.	unique	G1515 εἰρήνη	peace @ TBESG line 1655
168	f51b27e70764e4db28915017563cb81bf024a031004741cee4d43c08efb622fc	sha256:9ebd791f5cf48539112f3dd0e2bad6b122533d925892ec2fd72cec1035972c81	Ioan 14:27-31	ἄρχων τοῦ κόσμου	stăpânitorul lumii. Puterea întunericului aflată sub judecata lui Dumnezeu.	unique	G0758 + G3588 + G2889 ἄρχων ὁ κόσμος	ruler; the/this/who; world @ TBESG line 867 + TBESG line 3702 + TBESG line 3084
169	49ee18e3191582a96794b01f5b0094632d751c178edc9752a87314c74c2eba4c	sha256:f9c80d910d5b8d98e81dbfe14831c4c7ac8120a9824594cccd872e82f146a4e5	Ioan 15:1-11	μένω	a rămâne. A sta statornic, viu și legat de Hristos.	unique	G3306 μένω	to stay @ TBESG line 3419
170	828a0657e95b016e8977957b07fd289ab35468b26a4185cf1eb519a140cb3b8e	sha256:45afdf48b15757feeae2bf4620ae518b68ff573d91624c1f938ab6d559c04133	Ioan 15:1-11	καθαίρω	a curăța, a tăia spre curățire. Lucrarea Tatălui asupra mlădiței roditoare.	unique	G2508 καθαίρω	to prune @ TBESG line 2689
171	37e90c739602a4c3bab77c87ebda3b7c5f518a961d6e0bf6564651fd2346c810	sha256:1e93df891921e68be89603a6285647cd8ec91c5b2d58b62747ff4edca6fffef4	Ioan 15:1-11	καρπός	rod. Viață și lucrare născute din unirea cu Hristos.	ambiguous	G2590:καρπός || G7804:καρπός	fruit@TBESG line 2781 || wrist@TBESG line 7584
172	8851679985551018dcce9ee6697297648931d6369136c94ba9a07c3befe4a675	sha256:5d73f1f0d7bbb03224d1b34da566639039952f1e6662dc29a677bee79deb2dca	Ioan 15:12-17	φίλοι	prieteni. Cei apropiați cărora Domnul le face cunoscut ce a auzit de la Tatăl.	unique	G5384 φίλος	friendly/friend @ TBESG line 5546
173	876df777b9310a816e4d0c47af7f4e22bbe462bdc456e0573b1c895b5e43c7ed	sha256:d775c434458362cbbf014385f72f7aa8ba3b796b74bd61f265fe6678ac45c9ae	Ioan 15:12-17	τὴν ψυχὴν αὐτοῦ θῇ	să-și pună viața; θῇ este formă a verbului τίθημι, «a pune», iar ψυχή poate însemna aici «viață».	unique	G3588 + G5590 + G0846 + G5087 ὁ ψυχή αὐτός τίθημι	the/this/who; soul / soul: life / soul: myself / soul: person / soul: animal; it/s/he; to place @ TBESG line 3702 + TBESG lines 5761-5765 + TBESG line 958 + TBESG line 5242
174	33c7d596531947b31d603d98fc8227d477e62c4f59e5ea98d85509eddbeb0107	sha256:4bcdc4aa512ced2190e30fce1fa71f6f4553c8f7e3a4b05ab2d72317875a51ee	Ioan 15:18-27	κόσμος	lume; în contextul opoziției din Ioan 15, omenirea ostilă lui Hristos.	unique	G2889 κόσμος	world @ TBESG line 3084
175	dc0705f07f7e0bf5710f4f522641c62fab8466cf89d0511b259886b4fed82e9a	sha256:6220f13dfe91b6f15376eaa110d9ae8eb736b833e14b400fc4d2a0f5618fa5ea	Ioan 15:18-27	μισέω	a urî. Împotrivirea lumii față de Hristos și ai Lui.	unique	G3404 μισέω	to hate @ TBESG line 3517
176	42f7fbc22d4334c968ec9af57989344e66d2c4ac750a9d4a455e67c355908e49	sha256:b008b18ad543ad37ef0df5cc615480309ee131e9b31f4b15fa020a19d0762f7e	Ioan 15:18-27	μαρτυρέω	a mărturisi. Lucrarea Duhului și a ucenicilor despre Hristos.	unique	G3140 μαρτυρέω	to testify @ TBESG line 3350
177	5624208b57f253890ac33739594c7c2bf55dd26b1fac1b18885b1c4aa27dada9	sha256:03a47286157be421a6b971e61e35fd490167c0f8aea044fbcfdff25d0daa5c30	Ioan 16:1-15	παράκλητος	sfătuitor, ajutor, apărător; tradițional, Mângâietor; aici, Duhul Sfânt.	unique	G3875 παράκλητος	counsellor @ TBESG line 3993
178	c986b3fe7ff956b993055a370e9173d956ade2abba2235b7cd373779ee5fd0cb	sha256:1238d156123db25f6997b6b11a7aeaca3a57404426c4a63dfee1d9729b2a7994	Ioan 16:1-15	ἐλέγχω	a mustra, a convinge de vină, a expune; în context, lucrarea Duhului față de lume.	unique	G1651 ἐλέγχω	to rebuke @ TBESG line 1791
179	65f5853fa655d95e89020cabcf5a33f0cdd70ce430cd4345c89c4113da9eda9f	sha256:28835414ff76585964823e4b0699b61d3a7a7cb5184f8d4739a0ebf8d9b493ba	Ioan 16:16-24	λύπη	întristare. Durerea ucenicilor înaintea despărțirii și a crucii.	unique	G3077 λύπη	grief @ TBESG line 3279
180	b9aeb4921b195d93e98fe229927d7b66fbfe4801aad0ddfb2783a24be7a85e8b	sha256:bd8f46529b7197eb5b59fadeb5b71c34521c52ee6438cdf5dad1473d32a2e233	Ioan 16:16-24	χαρά	bucurie. Bucuria dată de Hristos și legată de învierea Lui.	unique	G5479 χαρά	joy @ TBESG line 5645
181	0f6d266548f7872e6380bdda7f22cf4eb77f24fe883b7f02d969b2a8f99adbc4	sha256:c02b4ad9637fc5a64da24f1a81236ef37b4c561177f135d62117bee805f18275	Ioan 16:25-33	θαρσεῖτε	îndrăzniți, aveți curaj. Chemare la inimă tare în Hristos.	unique	G2293 θαρσέω	take heart @ TBESG line 2442
182	d66cd959463f1e1a67820924995a586e799dc1c4bfd2d765e06bab1d5e12ebe8	sha256:a9dc240a216450ce1c2aeb489768c91e4c68eccc0bc03ea06062b034030d1660	Ioan 16:25-33	νενίκηκα	am biruit. Biruință deja câștigată și cu efect durabil.	unique	G3528 νικάω	to conquer @ TBESG line 3641
183	794b6eabbdb83b828de3f197b8e52cfc7d6977a8262613fc2a31c0508a187f2c	sha256:21068152354712ec875f3f76ff90a490da327a1ff48c959dca8d16c18242ecf0	Ioan 17:1-5	δόξα	slavă, glorie, onoare; în context, slava Fiului.	unique	G1391 δόξα	glory @ TBESG line 1523
184	a0c8e5b54ff9fa56974ac9c4274ecbab5fbbd59c501b954a42632227bd91aa23	sha256:9071e88ef9ed35d5f5b77b8b4b3fb735f43a341cd6abd9a87bd134aac72b7861	Ioan 17:1-5	ζωὴ αἰώνιος	viață veșnică. Viață în cunoașterea lui Dumnezeu prin Fiul.	unique	G2222 + G0166 ζωή αἰώνιος	life; eternal @ TBESG line 2367 + TBESG line 265
185	eee23b61670b38b3b160846ba448bf205fb80ea7bc8cec4c88b098b98be910a0	sha256:f7220b86c26f4b2f7e6518f21435596b388d747a317029933cb11287df9dfc9a	Ioan 17:6-19	ἁγιάζω	a sfinți, a pune deoparte pentru Dumnezeu.	unique	G0037 ἁγιάζω	to sanctify @ TBESG line 130
186	b7c3e5ecaa817b7aad65a5682319d8d0d3617b7d948cbadce5436fbabb2c9a6e	sha256:3bd4817fa345d832e92722da23679624ed293efc43aa0f5cb0988babe796d4da	Ioan 17:6-19	ἀλήθεια	adevăr. Realitatea descoperită de Dumnezeu, prin care El și sfințește.	unique	G0225 ἀλήθεια	truth @ TBESG line 327
187	913253b1682be517535fd4b908c2e0555a483e96ec9c4bf39ace8b069e8de7eb	sha256:0d9c3fbb0cb74bacf96f8a9d7ab4931bd41b0faf143cbfd749e2081afae55a72	Ioan 17:20-26	ἵνα πάντες ἓν ὦσιν	ca toți să fie una. Cererea Domnului pentru unitatea celor ai Lui.	ambiguous	G2443 + G3956 + G1520 + G1510:ἵνα πᾶς εἷς εἰμί || G2443 + G3956 + G1527 + G1510:ἵνα πᾶς εἷς καθ᾽ εἷς εἰμί || G3363 + G3956 + G1520 + G1510:ἵνα μή πᾶς εἷς εἰμί || G3363 + G3956 + G1527 + G1510:ἵνα μή πᾶς εἷς καθ᾽ εἷς εἰμί	in order that/to; all; one; to be@TBESG line 2600 + TBESG line 4074 + TBESG line 1660 + TBESG line 1650 || in order that/to; all; one by one; to be@TBESG line 2600 + TBESG line 4074 + TBESG line 1667 + TBESG line 1650 || lest/so that... not; all; one; to be@TBESG line 3476 + TBESG line 4074 + TBESG line 1660 + TBESG line 1650 || lest/so that... not; all; one by one; to be@TBESG line 3476 + TBESG line 4074 + TBESG line 1667 + TBESG line 1650
188	cee41d3e7ee6918dec6e631a90c96b8c19dd710519c0fcc6b91279d951678167	sha256:7f6265dcc9c2638b9375daf1b8eaac8f2a2d13dfa54b5d957405c9ef4221e7e5	Ioan 17:20-26	θέλω	vreau. Dorința hotărâtă a Fiului pentru ai Săi.	unique	G2309 θέλω	to will/desire @ TBESG line 2458
189	0c3f5174c61bd6c2e1df836524cbae8789616055502639cd7ce4de8ac2606ad4	sha256:7cb64fc003455cf102a6a59d8db628b6062970b817cb02d0bac97c0a0a1a51bb	Ioan 18:1-14	ἐγώ εἰμι	Eu sunt. Auto-descoperirea Domnului plină de autoritate.	unique	G1473 + G1510 ἐγώ εἰμί	I/we; to be @ TBESG line 1605 + TBESG line 1650
190	fe0b85eae9a62f954890ed04a55d15e45af404e173a122f5163d60dcda39a3fa	sha256:85ad95f49becffcd6f8f6e335d1e269f5ea5934e45d1f8cc7dec6296ddf328bb	Ioan 18:1-14	ποτήριον	pahar. Ceasul hotărât al suferinței primite în ascultare de la Tatăl.	unique	G4221 ποτήριον	cup @ TBESG line 4350
191	a9b330094225de53c16aa4eb6625376e478d937610624281c583e7bded2c4640	sha256:c6649d05c3ce258c5202568bd9be1b4dfcdec4f7a68db31a37739a622325c499	Ioan 18:15-27	ἀρνέομαι	a se lepăda, a nega. Refuzul de a recunoaște legătura cu Hristos.	unique	G0720 ἀρνέομαι	to deny @ TBESG line 829
192	fc851b78d6c850df79650c3fd7afa00a3a6b938e66d0d452fa2d5c6b8837e71f	sha256:4ff47f386cbd5d24c702893a1341613cacd58a369e8f46ca12ec1b74da1f5606	Ioan 18:15-27	ἀλήθεια	adevăr. Ceea ce Domnul poartă fără abatere chiar sub lovituri.	unique	G0225 ἀλήθεια	truth @ TBESG line 327
193	1d64081ef03a0163d06a66b94ad27bae19b2e8d8f7763b1ba1803be7b16bbbf0	sha256:15ec479c64b30ce75d3eac6a807dfbb073346e82709821f5be79c0e2ef4f3e74	Ioan 18:28-40	βασιλεία	împărăție. Stăpânirea reală a lui Hristos, dar nu după felul lumii.	unique	G0932 βασιλεία	kingdom @ TBESG line 1053
194	708e41fdd1eb26dd53ace8f3290f052daf10b76833a5f352318b9482f6666c92	sha256:9cab9ae028df359b997c581cdea976fccc9cb657f73c8f45cbdd5a1f29d0573c	Ioan 18:28-40	ἀλήθεια	adevăr. Realitatea lui Dumnezeu mărturisită de Hristos.	unique	G0225 ἀλήθεια	truth @ TBESG line 327
195	b6018ce0a0318dc90ae0df44699a19daaeae09e03e0653393397b34450f52ba0	sha256:f0dd1e5c4f1729113a895ffc7adb524bed4d7dbf2f294a9a97dc17f36fc0892d	Ioan 19:1-16	ἴδε ὁ ἄνθρωπος	Iată Omul. Prezentare publică a Domnului în umilința Sa.	unique	G2396 + G3588 + G0444 ἴδε ὁ ἄνθρωπος	look!; the/this/who; a human @ TBESG line 2549 + TBESG line 3702 + TBESG line 551
196	48559e9a7a18579ab1e456ebf36967f74533c7c8d7e02f1649628c0ee32da55d	sha256:e93a95441fd06168a450b19d50fa9b15fa8486f7febfb9370770e3574e995c52	Ioan 19:1-16	ἐξουσία	putere, autoritate. Autoritatea omenească stă sub cea de sus.	unique	G1849 ἐξουσία	authority @ TBESG line 1990
197	9740b13f7d46c05592c3733e55a08a45b6ae0b15e7ec83e01f2e04a1b3dc9c19	sha256:0fe373ff7a192cb13db1bc38d93bc146c5499bbfe683d168c23a4e49f61d5ea4	Ioan 19:17-30	τετέλεσται	S-a isprăvit. Lucrare dusă la capăt, împlinită pe deplin.	unique	G5055 τελέω	to finish @ TBESG line 5207
198	b9a0a1e75a48dfdf90d6d8af2ec6e691b14afc62d502aa6ee251873b60205586	sha256:c4f1ceca8df543bfca8c29f9133a4ce70b54087796954f5cc877baaff3401373	Ioan 19:17-30	παρέδωκεν τὸ πνεῦμα	a dat/a predat duhul; παρέδωκεν este formă a verbului παραδίδωμι, «a da/preda», iar πνεῦμα = duh/spirit.	unique	G3860 + G3588 + G4151 παραδίδωμι ὁ πνεῦμα	to deliver; the/this/who; spirit/breath: spirit / spirit/breath: breath @ TBESG line 3978 + TBESG line 3702 + TBESG lines 4276-4277
199	24b8261485c93388a8d8010b6ba4e34b7d07cd9e80dba77dffc57b7a85d258eb	sha256:325565466df18a2de95f95c2c67bad36c11e90b4233ff86345bedcb3e72cf328	Ioan 19:31-42	μαρτυρία	mărturie. Adeverirea văzută și spusă a adevărului.	unique	G3141 μαρτυρία	testimony @ TBESG line 3351
200	600df21c5280ce120ec99e88c1e6908ffda408b3e80ad52d94bd73110d625ce8	sha256:8e773f6dc868bafbf2d21e1e209aa95d37f2ce0fd094460d3c7de9882a0bc5a6	Ioan 19:31-42	ἐξεκέντησαν	au străpuns. Trimitere la împlinirea profeției.	unique	G1574 ἐκκεντέω	to pierce @ TBESG line 1714
201	9bc2c5c15b3512a8904e876458a62a0c60acb1bcf61b6e055e2ec99a63d87aac	sha256:9ad9e704bd1e3b5f3712c662f8cea8c7e6e2779378a6511c47b1c1bfd504f894	Ioan 20:1-18	ἀναστῆναι	a învia, a se ridica din morți.	unique	G0450 ἀνίστημι	to arise @ TBESG line 557
202	f73544934e7c97eaf0a68a357cbdf04a62ade8e3a10eeacf87162f7a98bc3472	sha256:a2492f118e68140e38b83cc0cfdcef5d1eb3e69f11bfdfa76e8ca19bfd6b405d	Ioan 20:19-29	εἰρήνη ὑμῖν	Pace vouă. Salutul plin de mângâiere al Domnului înviat.	unique	G1515 + G4771 εἰρήνη σύ	peace; you @ TBESG line 1655 + TBESG line 4919
203	33c38f43b08495c4ab6f4fce6042430f4ed98314067e5b83832481cf7ed3ce20	sha256:32cd645867c667383e970e7f358a3ace848371733833cf9323b51ea73be7d9ae	Ioan 20:19-29	ὁ κύριός μου καὶ ὁ θεός μου	Domnul meu și Dumnezeul meu. Mărturisirea lui Toma despre Hristos.	ambiguous	G3588 + G2962 + G1473 + G1499 + G3588 + G2316 + G1473:ὁ κύριος ἐγώ εἰ καί ὁ θεός ἐγώ || G3588 + G2962 + G1473 + G2532 + G3588 + G2316 + G1473:ὁ κύριος ἐγώ καί ὁ θεός ἐγώ || G3588 + G2962 + G1473 + G7048 + G3588 + G2316 + G1473:ὁ κύριος ἐγώ εἰ δὲ καί ὁ θεός ἐγώ	the/this/who; lord: God / lord: master; I/we; if also; the/this/who; God; I/we@TBESG line 3702 + TBESG lines 3157-3158 + TBESG line 1605 + TBESG line 1639 + TBESG line 3702 + TBESG line 2465 + TBESG line 1605 || the/this/who; lord: God / lord: master; I/we; and; the/this/who; God; I/we@TBESG line 3702 + TBESG lines 3157-3158 + TBESG line 1605 + TBESG line 2713 + TBESG line 3702 + TBESG line 2465 + TBESG line 1605 || the/this/who; lord: God / lord: master; I/we; but if even; the/this/who; God; I/we@TBESG line 3702 + TBESG lines 3157-3158 + TBESG line 1605 + TBESG line 6829 + TBESG line 3702 + TBESG line 2465 + TBESG line 1605
204	33dc5c1d7a7602fd8b64963bd47501517e7bf5d6faf1b95a46158438144fa31a	sha256:ccc9e05c8f5fbf79f13cbf766b7b3392f0572f4034e9258781e36cd51f67bd3a	Ioan 20:30-31	πιστεύητε	să credeți. Scopul declarat al scrierii lui Ioan.	unique	G4100 πιστεύω	to trust (in) @ TBESG line 4224
205	9124a5ac2acd6d92d06310a2a17dd833799e2d92745c04254580ad87792fb9da	sha256:1cb09dfbeb0fa02201aa819fbed1cbd68ee5a281c06a8ea70d97d8264d74c222	Ioan 20:30-31	ζωὴν ἔχητε	să aveți viață. Rodul credinței în Fiul.	unique	G2222 + G2192 ζωή ἔχω	life; to have/be @ TBESG line 2367 + TBESG line 2334
206	4375cb3bb68fd09de1dc55b12046d2d1e0594c1b35624083db751de5fd1d1494	sha256:44b39e95b3fdd6fefd3ef8c42d59707d24b69468eaceaff1ce2d384a2c76fc78	Ioan 21:1-14	φανερόω	a Se arăta, a Se face cunoscut. Manifestarea Domnului înviat.	unique	G5319 φανερόω	to reveal @ TBESG line 5475
207	013bec8c26da6fe001ee2d070352e8455f10427e91e87bf9cde676172063a091	sha256:8e2a92e37b850c6de7f6b70b1baeead94c5faf389ee158aa3e9d6c3f354cfcbd	Ioan 21:1-14	κύριός ἐστιν	Este Domnul. Recunoașterea identității lui Isus.	unique	G2962 + G1510 κύριος εἰμί	lord: God / lord: master; to be @ TBESG lines 3157-3158 + TBESG line 1650
208	f181f0d7d14158e54df23c65ae6e20015279bacb9073d10012b0a8be84d0a8c4	sha256:d1e6f0407335fe1255aed5ec484f0ac7fab5e547db834f41ca00da0f5d2ac811	Ioan 21:15-19	ἀγαπᾷς / φιλεῖς	iubești; ἀγαπάω și φιλέω pot ambele însemna «a iubi», iar o opoziție rigidă între ele nu trebuie dedusă numai din lexic.	unique	G0025 + G5368 ἀγαπάω φιλέω	to love; to love @ TBESG line 117 + TBESG line 5526
209	39da7c83712ab0501119122b11cb2e302ba607b1d3c1519d35f511a160d3bbea	sha256:4b4bb78ab76fc003af19d99243a6505043bb845c38fd333426bdd91148438c90	Ioan 21:15-19	βόσκε / ποίμαινε	paște, păstorește. Chemarea de a hrăni și îngriji turma Domnului.	unique	G1006 + G4165 βόσκω ποιμαίνω	to feed; to shepherd @ TBESG line 1128 + TBESG line 4294
210	902a4214fc1afe11c0f8285f53f447df29f880e3d9995a1473daa501ad064f1d	sha256:bc20420c1dd281f74c8f94fd15fb79288826540b1f2ee798f65b985337e6df8d	Ioan 21:20-25	ἀκολούθει μοι	urmează-Mă. Chemarea personală și continuă a Domnului.	unique	G0190 + G1473 ἀκολουθέω ἐγώ	to follow; I/we @ TBESG line 289 + TBESG line 1605
211	8e8f3634237f2705c9fb41079b5606274204c9c07b88eeb47c0661acdf2a8b1a	sha256:527042c74e00cac6a325955d447add55b185ab15d9adb9ed1e4f398d430cb186	Ioan 21:20-25	μαρτυρία	mărturie. Adeverirea scrisă despre Hristos.	unique	G3141 μαρτυρία	testimony @ TBESG line 3351
212	482be9832dc1f564d76489b76c651383821343adaa32f28e9e462fbef28b4e33	sha256:2acecf1a552962fc7656617dd4b9cfd4718978db6b6c372ce7f76352d218fbdc	Efeseni 1:1-6	υἱοθεσία	înfiere, adopție ca fiu; așezare în statutul de fiu.	unique	G5206 υἱοθεσία	adoption (as son) @ TBESG line 5361
213	a874570184b788285780f4006e070f89d51a419a476e155d2e26d72c002ff9ef	sha256:336849c2bc4db8cc45520a33c92208ceac9dc0e1913d93962573116d7b530dc5	Efeseni 2:8-10	ποίημα	lucrare, lucru făcut, operă sau creație.	unique	G4161 ποίημα	workmanship @ TBESG line 4290
214	eb8fe96b1e09ebc7d2f9c9c6d170110b1b7f2b5316e57f886fd3e86e1b500aa3	sha256:7c0aef24dd084c0faaae8ae0efec3e82fdb75da98123432b3b5671f7360edd02	Tit 2:11-14	παιδεύω	a educa, a forma, a disciplina ca pe un copil. Harul nu este numai iertare declarată, ci formare pentru o viață nouă.	unique	G3811 παιδεύω	to instruct @ TBESG line 3929
215	68c4e3ce907d429c44a08075c79f07645d0de44b3cc091c9d51bbe223a0da4bf	sha256:5ba80eca05f50ad4060871e499ae1985ed50aeae2a12f31b27870ec1bb1775db	Tit 3:3-7	παλιγγενεσία	naștere din nou, început nou. În Tit 3 descrie lucrarea mântuitoare prin care Dumnezeu aduce omul într-o viață nouă.	unique	G3824 παλιγγενεσία	regeneration @ TBESG line 3942
216	e65136562ddca1c394229c404476d8aac9d70613eba455e5c44ae14894879a73	sha256:40732d66ebc0fe11f71313720279c37f0d77357cf18a96bf26f7e94dadb8f006	Filimon 1:8-16	Ὀνήσιμος	Onesimus, nume propriu; în versetul 11 Pavel construiește un joc de cuvinte între «nefolositor» și «folositor».	unique	G3682 Ὀνήσιμος	Onesimus @ TBESG line 3798
